Model,model_key,k,reference_loss,coverage_at_16,diversity_at_16,best_of_16_reward,trainer_eval_loss
Gemma-4-E2B-it,gemma4_e2b_it,1,1.6043732138816267,0.7774120873212814,0.3332612466812134,7.7682275390625,1.6627483367919922
Gemma-4-E2B-it,gemma4_e2b_it,2,1.543125319276005,0.785285467505455,0.3105354022979736,8.7855078125,1.6079421043395996
Gemma-4-E2B-it,gemma4_e2b_it,4,1.4987164792325347,0.7882456812262535,0.3050429528951645,9.11318359375,1.559917688369751
Gemma-4-E2B-it,gemma4_e2b_it,8,1.4675498022139073,0.7919331726431846,0.3107108473777771,5.742734375,1.534363031387329
Gemma-4-E2B-it,gemma4_e2b_it,16,1.4437291760835798,0.7649541801214218,0.2884140396118164,0.287353515625,1.5062358379364014
Gemma-4-E4B-it,gemma4_e4b_it,1,1.5497689088992774,0.7879053452610969,0.3208343595266342,10.73212890625,1.6316498517990112
Gemma-4-E4B-it,gemma4_e4b_it,2,1.5063540747296065,0.7953920757770538,0.3135014969110489,9.8710595703125,1.5858230590820312
Gemma-4-E4B-it,gemma4_e4b_it,4,1.4663525544200093,0.7884987837076187,0.30104622185230256,9.53779296875,1.5429936647415161
Gemma-4-E4B-it,gemma4_e4b_it,8,1.434475694037974,0.7949776035547257,0.2955947917699814,8.7694287109375,1.5085930824279785
Gemma-4-E4B-it,gemma4_e4b_it,16,1.4123004515469075,0.7778070813417435,0.2902039408683777,6.0626708984375,1.4870436191558838
Llama-3.2-1B-Instruct,llama32_1b_instruct,1,1.637960536899045,0.7725326177477837,0.31545969009399416,8.541346435546876,1.6704437732696533
Llama-3.2-1B-Instruct,llama32_1b_instruct,2,1.5921731212735175,0.7761224047839641,0.32051818192005155,8.124056396484375,1.633620262145996
Llama-3.2-1B-Instruct,llama32_1b_instruct,4,1.5594799205102026,0.7903914505243301,0.3219573223590851,8.32154296875,1.6057087182998657
Llama-3.2-1B-Instruct,llama32_1b_instruct,8,1.5340382108837367,0.7972648656368255,0.3083691245317459,7.963115234375,1.583021879196167
Llama-3.2-1B-Instruct,llama32_1b_instruct,16,1.5077800604142249,0.794171462059021,0.292392845749855,8.14923828125,1.5583845376968384
Llama-3.2-3B-Instruct,llama32_3b_instruct,1,1.595063386345282,0.7859491863846779,0.2948231887817383,9.8066796875,1.660468339920044
Llama-3.2-3B-Instruct,llama32_3b_instruct,2,1.5572312404680997,0.7812845408916473,0.29673499941825865,8.230625,1.6219441890716553
Llama-3.2-3B-Instruct,llama32_3b_instruct,4,1.523939264267683,0.7916781297326088,0.2979576236009598,9.308134765625,1.5964305400848389
Llama-3.2-3B-Instruct,llama32_3b_instruct,8,1.4937377096991986,0.7986591124534607,0.28674641251564026,9.09787109375,1.5716286897659302
Llama-3.2-3B-Instruct,llama32_3b_instruct,16,1.472402486409992,0.7989827376604081,0.2831362962722778,8.4910546875,1.5414273738861084
Qwen-3.5-2B,qwen35_2b,1,1.5041562390699983,0.7871138554811478,0.3201070141792297,9.13333984375,1.5669524669647217
Qwen-3.5-2B,qwen35_2b,2,1.4758638504240662,0.7910263612866402,0.2978930687904358,8.789501953125,1.5469564199447632
Qwen-3.5-2B,qwen35_2b,4,1.4485751174204051,0.7959522727131844,0.29721585392951966,9.35268798828125,1.5228779315948486
Qwen-3.5-2B,qwen35_2b,8,1.4250165867712348,0.8025482788681984,0.28360772609710694,8.185595703125,1.5052225589752197
Qwen-3.5-2B,qwen35_2b,16,1.4141352427843958,0.8030779603123664,0.280714225769043,8.02580078125,1.4885997772216797
Qwen-3.5-4B,qwen35_4b,1,1.36258277756162,0.7811225211620331,0.2899052983522415,7.4699755859375,1.450114369392395
Qwen-3.5-4B,qwen35_4b,2,1.3412324638850988,0.7847852766513824,0.2935162502527237,8.4341796875,1.4237697124481201
Qwen-3.5-4B,qwen35_4b,4,1.320569673711434,0.7931804022192955,0.292438605427742,8.932611694335938,1.4013012647628784
Qwen-3.5-4B,qwen35_4b,8,1.3018387509230525,0.7926184910535813,0.27673576176166537,9.01912109375,1.3870229721069336
Qwen-3.5-4B,qwen35_4b,16,1.2920023871865123,0.7952252271771431,0.27055071413516996,7.99447021484375,1.3725430965423584
